State,City Tier,Brand,Year of Manufacture,Owner Type,Seller Type,Fuel Type,Insurance Status,Price (INR),Registration Year,Avg Daily Distance (km),Engine Capacity (cc),Mileage (km/l),Efficiency score,Daily fuel consumption,Resale Price (INR),Resale score,Model,Depreciation
Delhi,Tier 1,Bajaj,2020,First,Individual,Hybrid,Active,"1,39,469.00 ",2020,13.76,560,96.59,0.17,0.14,"81,308.83 ",27894,Pulsar 150,58160.17
Madhya Pradesh,Tier 1,Honda,2018,First,Individual,Hybrid,Active,"2,28,629.00 ",2018,77.88,393,78.39,0.2,0.99,"1,10,676.41 ",32662,Shine,117952.59
Tamil Nadu,Tier 1,Kawasaki,2015,First,Individual,Hybrid,Active,"95,313.00 ",2015,47.42,164,70.6,0.43,0.67,"66,300.29 ",9532,Vulcan S,29012.71
West Bengal,Tier 1,Bajaj,2018,First,Individual,Hybrid,Active,"3,47,867.00 ",2018,40.72,825,80.11,0.1,0.51,"1,68,461.67 ",49696,Platina 110,179405.33
Maharashtra,Tier 1,TVS,2016,First,Individual,Hybrid,Active,"3,22,415.00 ",2016,78.47,168,77.56,0.46,1.01,"1,50,806.20 ",35824,Jupiter,171608.8
Rajasthan,Tier 1,Hero,2022,First,Individual,Hybrid,Active,"3,76,221.00 ",2022,53.64,535,74.36,0.14,0.72,"2,09,920.10 ",125407,Xtreme 160R,166300.9
Punjab,Tier 1,TVS,2021,First,Individual,Hybrid,Active,"1,87,283.00 ",2021,62.61,825,63.14,0.08,0.99,"95,981.43 ",46821,NTorq 125,91301.57
Punjab,Tier 1,TVS,2017,First,Individual,Hybrid,Active,"3,37,122.00 ",2017,62.97,373,67.62,0.18,0.93,"1,45,970.70 ",42141,Sport,191151.3
Karnataka,Tier 1,Yamaha,2015,First,Individual,Hybrid,Active,"3,90,754.00 ",2015,56.47,557,70.52,0.13,0.8,"2,59,032.02 ",39076,R15 V4,131721.98
Madhya Pradesh,Tier 1,Bajaj,2020,First,Individual,Hybrid,Active,"2,72,257.00 ",2020,68.27,306,99.92,0.33,0.68,"1,43,415.55 ",54452,Dominar 400,128841.45
Madhya Pradesh,Tier 1,Kawasaki,2019,First,Individual,Hybrid,Active,"93,479.00 ",2019,47.01,322,74.1,0.23,0.63,"41,041.92 ",15580,Ninja 300,52437.08
Tamil Nadu,Tier 1,Royal Enfield,2018,First,Individual,Hybrid,Active,"2,98,560.00 ",2018,78.84,786,72.98,0.09,1.08,"2,16,316.16 ",42652,Himalayan,82243.84
Delhi,Tier 1,Bajaj,2018,First,Individual,Petrol,Active,"3,90,158.00 ",2018,51.69,620,29.77,0.05,1.74,"2,74,058.16 ",55737,Dominar 400,116099.84
Delhi,Tier 1,TVS,2018,First,Dealer,Petrol,Active,"75,299.00 ",2018,58.04,484,30.61,0.06,1.9,"59,021.80 ",10757,Sport,16277.2
Tamil Nadu,Tier 1,Bajaj,2021,First,Individual,Petrol,Active,"3,07,685.00 ",2021,57.46,787,26.19,0.03,2.19,"1,35,348.28 ",76922,Dominar 400,172336.72
Delhi,Tier 1,Hero,2021,First,Individual,Petrol,Active,"1,98,952.00 ",2021,79.21,816,49.02,0.06,1.62,"1,03,419.59 ",49738,Passion Pro,95532.41
West Bengal,Tier 1,TVS,2021,First,Individual,Petrol,Active,"2,13,681.00 ",2021,40.32,864,54.62,0.06,0.74,"1,41,674.80 ",53421,Sport,72006.2
Maharashtra,Tier 1,Kawasaki,2017,First,Dealer,Petrol,Active,"2,65,123.00 ",2017,23.01,591,57.37,0.1,0.4,"1,63,847.29 ",33141,Ninja 400,101275.71
Tamil Nadu,Tier 1,KTM,2020,First,Dealer,Petrol,Active,"3,85,042.00 ",2020,70.42,656,48.41,0.07,1.45,"2,27,250.32 ",77009,250 Duke,157791.68
Tamil Nadu,Tier 1,Bajaj,2019,First,Individual,Petrol,Active,"67,023.00 ",2019,35.98,850,44.81,0.05,0.8,"39,382.70 ",11171,Pulsar 150,27640.3
Punjab,Tier 1,Honda,2019,First,Dealer,Petrol,Active,"93,576.00 ",2019,53.45,408,59.39,0.15,0.9,"51,140.87 ",15596,Activa,42435.13
Gujarat,Tier 1,Honda,2022,First,Individual,Petrol,Active,"3,32,876.00 ",2022,41.79,406,38.85,0.1,1.08,"1,65,005.82 ",110959,Unicorn,167870.18
Madhya Pradesh,Tier 1,Kawasaki,2015,First,Individual,Petrol,Active,"3,87,720.00 ",2015,22.58,695,28.26,0.04,0.8,"2,45,711.78 ",38772,Ninja 300,142008.22
Maharashtra,Tier 1,Kawasaki,2019,First,Individual,Petrol,Active,"2,03,033.00 ",2019,33.38,395,50.84,0.13,0.66,"1,36,112.07 ",33839,Vulcan S,66920.93
Tamil Nadu,Tier 1,Royal Enfield,2020,First,Individual,Petrol,Active,"3,33,119.00 ",2020,71.09,869,58.64,0.07,1.21,"1,42,628.79 ",66624,Meteor 350,190490.21
Punjab,Tier 1,Royal Enfield,2022,First,Dealer,Petrol,Active,"3,72,609.00 ",2022,44.86,703,46.86,0.07,0.96,"2,61,973.89 ",124203,Classic 350,110635.11
Uttar Pradesh,Tier 1,Royal Enfield,2020,First,Individual,Petrol,Active,"2,84,143.00 ",2020,70.24,275,27.8,0.1,2.53,"1,35,329.45 ",56829,Himalayan,148813.55
Uttar Pradesh,Tier 1,KTM,2019,First,Individual,Petrol,Active,"1,64,915.00 ",2019,79.97,941,35.4,0.04,2.26,"71,473.39 ",27486,Duke 200,93441.61
Rajasthan,Tier 1,Kawasaki,2019,First,Individual,Petrol,Active,"3,67,217.00 ",2019,53.95,356,31.42,0.09,1.72,"2,38,836.49 ",61203,Ninja 400,128380.51
Maharashtra,Tier 1,Kawasaki,2016,First,Individual,Petrol,Active,"2,95,755.00 ",2016,47.37,981,44.78,0.05,1.06,"1,46,215.59 ",32862,Ninja 400,149539.41
Uttar Pradesh,Tier 1,Hero,2018,First,Individual,Petrol,Active,"1,20,442.00 ",2018,47.69,222,38.21,0.17,1.25,"54,608.06 ",17206,HF Deluxe,65833.94
West Bengal,Tier 1,Honda,2019,First,Individual,Petrol,Active,"2,53,073.00 ",2019,18.19,744,30.05,0.04,0.61,"1,63,817.23 ",42179,Dio,89255.77
Tamil Nadu,Tier 1,Royal Enfield,2018,First,Individual,Petrol,Active,"3,89,285.00 ",2018,19.3,633,37.84,0.06,0.51,"2,32,734.82 ",55613,Interceptor 650,156550.18
Uttar Pradesh,Tier 1,TVS,2022,First,Individual,Petrol,Active,"1,50,609.00 ",2022,24.68,758,41.27,0.05,0.6,"95,048.15 ",50203,Jupiter,55560.85
Uttar Pradesh,Tier 1,KTM,2019,First,Dealer,Petrol,Active,"1,67,988.00 ",2019,5.81,505,53.97,0.11,0.11,"1,20,362.96 ",27998,250 Duke,47625.04
Punjab,Tier 1,Yamaha,2020,First,Dealer,Petrol,Active,"3,61,747.00 ",2020,58.13,395,56.33,0.14,1.03,"2,73,505.58 ",72350,Fascino 125,88241.42
Delhi,Tier 1,Royal Enfield,2015,First,Individual,Petrol,Active,"1,08,612.00 ",2015,58.87,390,27.88,0.07,2.11,"72,262.73 ",10862,Interceptor 650,36349.27
Uttar Pradesh,Tier 1,Hero,2019,First,Dealer,Petrol,Active,"1,56,619.00 ",2019,72.68,778,59.45,0.08,1.22,"79,426.67 ",26104,Splendor Plus,77192.33
Maharashtra,Tier 1,KTM,2016,First,Individual,Petrol,Active,"2,11,931.00 ",2016,38.24,278,58.96,0.21,0.65,"1,25,375.12 ",23548,Duke 200,86555.88
Punjab,Tier 1,Honda,2017,First,Individual,Petrol,Active,"2,10,366.00 ",2017,44.44,206,53.14,0.26,0.84,"1,65,025.77 ",26296,CBR 650R,45340.23
Uttar Pradesh,Tier 1,Yamaha,2017,First,Dealer,Petrol,Active,"2,80,512.00 ",2017,39.42,758,47.38,0.06,0.83,"2,20,452.13 ",35064,Ray ZR,60059.87
Madhya Pradesh,Tier 1,Yamaha,2022,First,Individual,Petrol,Active,"69,581.00 ",2022,5.62,644,25.25,0.04,0.22,"54,573.41 ",23194,MT-15,15007.59
Punjab,Tier 1,KTM,2018,First,Dealer,Petrol,Active,"3,14,807.00 ",2018,11.52,265,43.57,0.16,0.26,"1,93,121.44 ",44973,Duke 200,121685.56
Rajasthan,Tier 1,Honda,2018,First,Individual,Petrol,Active,"3,21,919.00 ",2018,48.61,617,55.98,0.09,0.87,"2,37,707.35 ",45989,Activa,84211.65
Gujarat,Tier 1,Kawasaki,2018,First,Dealer,Petrol,Active,"1,37,577.00 ",2018,45.38,889,39.3,0.04,1.15,"63,167.90 ",19654,Z650,74409.1
Delhi,Tier 1,Yamaha,2016,First,Individual,Petrol,Active,"1,04,696.00 ",2016,35.79,724,28.23,0.04,1.27,"81,017.45 ",11633,Fascino 125,23678.55
Tamil Nadu,Tier 1,Hero,2015,First,Individual,Petrol,Active,"2,06,025.00 ",2015,7.46,892,34.07,0.04,0.22,"1,06,400.58 ",20603,Xtreme 160R,99624.42
Rajasthan,Tier 1,Hero,2019,First,Individual,Petrol,Active,"1,26,159.00 ",2019,73.11,624,50.86,0.08,1.44,"73,975.96 ",21027,Xtreme 160R,52183.04
Maharashtra,Tier 1,Royal Enfield,2017,First,Individual,Petrol,Active,"3,89,025.00 ",2017,57.66,951,44.23,0.05,1.3,"1,89,147.72 ",48629,Classic 350,199877.28
Punjab,Tier 1,Honda,2015,First,Dealer,Petrol,Active,"99,936.00 ",2015,13.96,749,39.05,0.05,0.36,"70,757.89 ",9994,Shine,29178.11
Punjab,Tier 1,Royal Enfield,2020,First,Individual,Petrol,Active,"1,91,407.00 ",2020,35.37,366,38.64,0.11,0.92,"1,22,448.21 ",38282,Himalayan,68958.79
Karnataka,Tier 1,Royal Enfield,2015,First,Dealer,Petrol,Active,"3,26,527.00 ",2015,72.86,480,50.69,0.11,1.44,"2,09,764.47 ",32653,Classic 350,116762.53
Madhya Pradesh,Tier 1,Bajaj,2015,First,Dealer,Petrol,Active,"3,01,698.00 ",2015,33.62,435,28.09,0.06,1.2,"1,85,226.70 ",30170,Dominar 400,116471.3
Gujarat,Tier 1,Royal Enfield,2016,First,Dealer,Petrol,Active,"2,32,576.00 ",2016,62.4,503,42.39,0.08,1.47,"1,54,606.56 ",25842,Meteor 350,77969.44
Delhi,Tier 1,Kawasaki,2015,First,Individual,Petrol,Active,"1,16,541.00 ",2015,70.61,114,56.56,0.5,1.25,"55,474.50 ",11655,Ninja 400,61066.5
Madhya Pradesh,Tier 1,Honda,2017,First,Dealer,Petrol,Active,"1,47,997.00 ",2017,12.71,655,37.71,0.06,0.34,"61,801.74 ",18500,Dio,86195.26
Madhya Pradesh,Tier 1,Bajaj,2015,First,Dealer,Petrol,Active,"3,65,279.00 ",2015,53.19,665,32.27,0.05,1.65,"1,77,508.24 ",36528,Pulsar 150,187770.76
Maharashtra,Tier 1,Yamaha,2019,First,Individual,Petrol,Active,"2,26,677.00 ",2019,16.03,1000,59.37,0.06,0.27,"1,55,847.73 ",37780,FZ V3,70829.27
Maharashtra,Tier 1,TVS,2015,First,Individual,Petrol,Active,"59,235.00 ",2015,63.64,993,45.23,0.05,1.41,"27,486.00 ",5924,Ronin,31749
Madhya Pradesh,Tier 1,Honda,2021,First,Individual,Petrol,Active,"1,47,277.00 ",2021,44.47,149,46.37,0.31,0.96,"80,731.31 ",36820,Dio,66545.69
Delhi,Tier 1,Kawasaki,2017,First,Dealer,Petrol,Active,"1,34,405.00 ",2017,76.29,989,34.79,0.04,2.19,"75,389.44 ",16801,Ninja 300,59015.56
Maharashtra,Tier 1,Yamaha,2017,First,Individual,Petrol,Active,"3,90,966.00 ",2017,74.5,963,30.71,0.03,2.43,"2,26,329.05 ",48871,MT-15,164636.95
Karnataka,Tier 1,Hero,2022,First,Dealer,Petrol,Active,"1,52,092.00 ",2022,21.14,391,41.69,0.11,0.51,"95,445.69 ",50698,Glamour,56646.31
Delhi,Tier 1,Yamaha,2019,First,Individual,Petrol,Active,"89,128.00 ",2019,71.84,478,27.34,0.06,2.63,"66,177.07 ",14855,Ray ZR,22950.93
Rajasthan,Tier 1,Kawasaki,2020,First,Individual,Petrol,Active,"1,03,124.00 ",2020,41.54,944,49.66,0.05,0.84,"54,690.32 ",20625,Z650,48433.68
Delhi,Tier 1,KTM,2015,First,Individual,Petrol,Active,"2,26,075.00 ",2015,54.95,290,34.06,0.12,1.61,"1,25,314.22 ",22608,Duke 200,100760.78
Tamil Nadu,Tier 1,Bajaj,2022,First,Dealer,Petrol,Active,"2,10,806.00 ",2022,79.61,375,31.61,0.08,2.52,"1,52,463.25 ",70269,Pulsar 150,58342.75
Delhi,Tier 1,Kawasaki,2015,First,Dealer,Petrol,Active,"1,45,990.00 ",2015,27.06,913,32.43,0.04,0.83,"89,156.58 ",14599,Ninja 400,56833.42
Karnataka,Tier 1,KTM,2022,First,Dealer,Petrol,Active,"1,59,208.00 ",2022,77.94,605,39.93,0.07,1.95,"74,286.32 ",53070,Duke 200,84921.68
Uttar Pradesh,Tier 1,Kawasaki,2018,First,Individual,Petrol,Active,"53,767.00 ",2018,33.17,811,44.52,0.05,0.75,"36,058.54 ",7681,Versys 650,17708.46
Maharashtra,Tier 1,Honda,2017,First,Individual,Petrol,Active,"2,66,273.00 ",2017,57.83,465,31.55,0.07,1.83,"1,39,685.98 ",33285,Shine,126587.02
Delhi,Tier 1,Royal Enfield,2019,First,Dealer,Petrol,Active,"3,67,775.00 ",2019,9.32,781,40.31,0.05,0.23,"1,48,675.39 ",61296,Interceptor 650,219099.61
West Bengal,Tier 1,Kawasaki,2022,First,Dealer,Petrol,Active,"62,164.00 ",2022,12.59,329,38.04,0.12,0.33,"32,889.76 ",20722,Z650,29274.24
Punjab,Tier 1,Bajaj,2020,First,Individual,Petrol,Active,"3,58,375.00 ",2020,56.22,345,29.21,0.08,1.92,"1,93,740.49 ",71675,CT 100,164634.51
Gujarat,Tier 1,KTM,2018,First,Individual,Petrol,Active,"2,61,446.00 ",2018,59.5,178,42.92,0.24,1.39,"1,72,040.52 ",37350,RC 390,89405.48
Punjab,Tier 1,Yamaha,2015,First,Individual,Petrol,Active,"3,10,140.00 ",2015,31.02,934,33.17,0.04,0.94,"1,90,611.33 ",31014,R15 V4,119528.67
Rajasthan,Tier 1,Royal Enfield,2019,First,Dealer,Petrol,Active,"75,905.00 ",2019,69.75,602,49.63,0.08,1.41,"49,187.18 ",12651,Himalayan,26717.82
Rajasthan,Tier 1,Yamaha,2016,First,Individual,Petrol,Active,"1,81,046.00 ",2016,42.74,140,51.74,0.37,0.83,"1,23,908.23 ",20117,Fascino 125,57137.77
Gujarat,Tier 1,TVS,2022,First,Individual,Petrol,Active,"1,40,000.00 ",2022,54.27,787,43.66,0.06,1.24,"1,06,310.27 ",46667,Apache RTR 160,33689.73
Tamil Nadu,Tier 1,Kawasaki,2020,First,Individual,Petrol,Active,"59,748.00 ",2020,33.84,994,28.25,0.03,1.2,"28,637.31 ",11950,Ninja 400,31110.69
Maharashtra,Tier 1,Royal Enfield,2021,First,Individual,Petrol,Active,"2,06,261.00 ",2021,57.48,550,43.02,0.08,1.34,"1,23,127.20 ",51566,Himalayan,83133.8
Rajasthan,Tier 1,Honda,2015,First,Individual,Petrol,Active,"1,37,134.00 ",2015,54.22,523,28.68,0.05,1.89,"60,902.46 ",13714,Unicorn,76231.54
Gujarat,Tier 1,Honda,2017,First,Individual,Petrol,Active,"3,27,141.00 ",2017,21.74,506,40.87,0.08,0.53,"2,04,538.69 ",40893,Activa,122602.31
Uttar Pradesh,Tier 1,Yamaha,2020,First,Individual,Petrol,Active,"1,21,564.00 ",2020,56.81,193,51.99,0.27,1.09,"84,833.38 ",24313,Ray ZR,36730.62
Rajasthan,Tier 1,Honda,2021,First,Individual,Petrol,Active,"2,46,265.00 ",2021,55.21,690,28.13,0.04,1.96,"1,53,884.56 ",61567,Activa,92380.44
Tamil Nadu,Tier 1,Royal Enfield,2020,First,Individual,Petrol,Active,"80,142.00 ",2020,47.56,359,25.06,0.07,1.9,"33,225.36 ",16029,Hunter 350,46916.64
West Bengal,Tier 1,Honda,2018,First,Individual,Petrol,Active,"2,36,541.00 ",2018,69.73,803,35.67,0.04,1.95,"1,04,978.51 ",33792,Shine,131562.49
Madhya Pradesh,Tier 1,Yamaha,2022,First,Dealer,Petrol,Active,"67,273.00 ",2022,29.2,595,34.81,0.06,0.84,"36,432.26 ",22425,Ray ZR,30840.74
Madhya Pradesh,Tier 1,Bajaj,2022,First,Dealer,Petrol,Active,"2,13,545.00 ",2022,9.17,318,41.03,0.13,0.22,"1,33,748.29 ",71182,Dominar 400,79796.71
Madhya Pradesh,Tier 1,Kawasaki,2015,First,Dealer,Petrol,Active,"3,27,478.00 ",2015,62.89,959,26.55,0.03,2.37,"2,19,595.75 ",32748,Ninja 300,107882.25
Uttar Pradesh,Tier 1,Hero,2020,First,Individual,Petrol,Active,"1,05,445.00 ",2020,8.68,756,26.29,0.03,0.33,"53,621.58 ",21089,Passion Pro,51823.42
Madhya Pradesh,Tier 1,Yamaha,2016,First,Dealer,Petrol,Active,"1,94,528.00 ",2016,44.2,985,56.34,0.06,0.78,"1,14,679.82 ",21615,Fascino 125,79848.18
Punjab,Tier 1,Bajaj,2016,First,Individual,Petrol,Active,"2,89,151.00 ",2016,43.52,377,33.91,0.09,1.28,"1,83,017.83 ",32128,Avenger 220,106133.17
Uttar Pradesh,Tier 1,TVS,2017,First,Dealer,Petrol,Active,"3,58,657.00 ",2017,23.36,594,41.88,0.07,0.56,"1,62,854.46 ",44833,NTorq 125,195802.54
Uttar Pradesh,Tier 1,Kawasaki,2016,First,Individual,Petrol,Active,"3,67,195.00 ",2016,49.24,376,29.99,0.08,1.64,"2,22,656.32 ",40800,Ninja 300,144538.68
Karnataka,Tier 1,TVS,2018,First,Dealer,Petrol,Active,"3,90,319.00 ",2018,70.32,634,56.19,0.09,1.25,"1,82,713.02 ",55760,Jupiter,207605.98
Rajasthan,Tier 1,Bajaj,2022,First,Dealer,Petrol,Active,"3,31,055.00 ",2022,33.04,622,57.1,0.09,0.58,"2,52,288.10 ",110352,Platina 110,78766.9
Uttar Pradesh,Tier 1,Honda,2019,First,Dealer,Petrol,Active,"3,31,225.00 ",2019,48.38,711,27.08,0.04,1.79,"1,62,585.39 ",55205,Dio,168639.61
Karnataka,Tier 1,Bajaj,2017,First,Dealer,Petrol,Active,"2,10,383.00 ",2017,61.08,746,40.61,0.05,1.5,"89,113.13 ",26298,Platina 110,121269.87
Karnataka,Tier 1,Yamaha,2017,First,Dealer,Petrol,Active,"2,62,798.00 ",2017,64.14,904,31.48,0.03,2.04,"1,18,911.75 ",32850,FZ V3,143886.25
Karnataka,Tier 1,Royal Enfield,2017,First,Dealer,Petrol,Active,"1,92,524.00 ",2017,12.86,218,40.71,0.19,0.32,"1,13,448.60 ",24066,Himalayan,79075.4
West Bengal,Tier 1,Yamaha,2015,First,Dealer,Petrol,Active,"2,53,591.00 ",2015,75.99,100,42.7,0.43,1.78,"1,24,114.47 ",25360,MT-15,129476.53
Delhi,Tier 1,Yamaha,2017,First,Dealer,Petrol,Active,"1,88,978.00 ",2017,32.27,242,51.5,0.21,0.63,"1,26,954.42 ",23623,R15 V4,62023.58
West Bengal,Tier 1,KTM,2018,First,Dealer,Petrol,Active,"1,82,551.00 ",2018,30.21,679,37.78,0.06,0.8,"1,29,881.39 ",26079,390 Adventure,52669.61
Karnataka,Tier 1,TVS,2019,First,Individual,Petrol,Active,"3,84,869.00 ",2019,9.54,885,33.38,0.04,0.29,"2,20,016.64 ",64145,Ronin,164852.36
West Bengal,Tier 1,Yamaha,2016,First,Individual,Petrol,Active,"1,14,538.00 ",2016,70.8,496,41.56,0.08,1.7,"51,127.13 ",12727,R15 V4,63410.87
Maharashtra,Tier 1,Kawasaki,2022,First,Dealer,Petrol,Active,"1,41,325.00 ",2022,20.74,246,56.05,0.23,0.37,"94,023.85 ",47109,Versys 650,47301.15
Karnataka,Tier 1,KTM,2022,First,Dealer,Petrol,Active,"2,34,364.00 ",2022,47.35,683,43.2,0.06,1.1,"1,31,703.71 ",78122,250 Duke,102660.29
Gujarat,Tier 1,KTM,2015,First,Dealer,Petrol,Active,"2,75,082.00 ",2015,36.35,995,42.88,0.04,0.85,"2,03,995.32 ",27509,Duke 200,71086.68
Gujarat,Tier 1,Yamaha,2018,First,Dealer,Petrol,Active,"69,231.00 ",2018,10.04,826,35.16,0.04,0.29,"51,009.43 ",9891,MT-15,18221.57
West Bengal,Tier 1,Kawasaki,2020,First,Individual,Petrol,Active,"1,71,311.00 ",2020,55.75,848,42.35,0.05,1.32,"87,803.94 ",34263,Ninja 400,83507.06
Uttar Pradesh,Tier 1,Bajaj,2018,First,Individual,Petrol,Active,"3,97,663.00 ",2018,51.33,486,47.58,0.1,1.08,"3,17,302.45 ",56809,Dominar 400,80360.55
West Bengal,Tier 1,Hero,2017,First,Dealer,Petrol,Active,"95,788.00 ",2017,19.29,243,48.4,0.2,0.4,"54,033.28 ",11974,Passion Pro,41754.72
West Bengal,Tier 1,Kawasaki,2018,First,Dealer,Petrol,Active,"3,54,260.00 ",2018,44.56,951,53.74,0.06,0.83,"2,14,348.10 ",50609,Ninja 300,139911.9
Maharashtra,Tier 1,KTM,2020,First,Dealer,Petrol,Active,"1,10,805.00 ",2020,36.06,495,40.17,0.08,0.9,"65,940.99 ",22161,Duke 200,44864.01
Uttar Pradesh,Tier 1,TVS,2018,First,Dealer,Petrol,Active,"2,18,406.00 ",2018,61.43,361,43.2,0.12,1.42,"1,05,367.04 ",31201,Apache RTR 160,113038.96
Rajasthan,Tier 1,Royal Enfield,2022,First,Individual,Petrol,Active,"1,81,390.00 ",2022,64.09,599,49.27,0.08,1.3,"78,022.08 ",60464,Interceptor 650,103367.92
Gujarat,Tier 1,Royal Enfield,2018,First,Individual,Petrol,Active,"1,27,060.00 ",2018,67.29,510,54.45,0.11,1.24,"65,472.21 ",18152,Classic 350,61587.79
Rajasthan,Tier 1,Royal Enfield,2022,First,Dealer,Petrol,Active,"1,63,559.00 ",2022,18.89,672,37.77,0.06,0.5,"85,962.25 ",54520,Himalayan,77596.75
Uttar Pradesh,Tier 1,KTM,2021,First,Dealer,Petrol,Active,"3,75,137.00 ",2021,16.13,513,37,0.07,0.44,"2,35,789.58 ",93785,RC 390,139347.42
West Bengal,Tier 1,Yamaha,2021,First,Dealer,Petrol,Active,"3,19,338.00 ",2021,75.71,286,31.82,0.11,2.38,"1,85,914.20 ",79835,Ray ZR,133423.8
Maharashtra,Tier 1,KTM,2016,First,Dealer,Petrol,Active,"2,34,741.00 ",2016,41.74,517,38.74,0.07,1.08,"1,14,261.56 ",26083,250 Duke,120479.44
Gujarat,Tier 1,Yamaha,2017,First,Dealer,Petrol,Active,"2,29,579.00 ",2017,31.23,902,54,0.06,0.58,"1,71,370.18 ",28698,R15 V4,58208.82
Karnataka,Tier 1,Honda,2017,First,Individual,Petrol,Active,"1,85,259.00 ",2017,32.41,768,48.99,0.06,0.66,"1,34,451.31 ",23158,Dio,50807.69
Uttar Pradesh,Tier 1,Bajaj,2018,First,Dealer,Petrol,Active,"2,49,071.00 ",2018,68.96,990,58.16,0.06,1.19,"1,36,039.49 ",35582,Dominar 400,113031.51
Uttar Pradesh,Tier 1,Honda,2018,First,Individual,Petrol,Active,"1,19,948.00 ",2018,72.62,209,31.03,0.15,2.34,"91,199.29 ",17136,Shine,28748.71
Maharashtra,Tier 1,Royal Enfield,2020,First,Dealer,Petrol,Active,"1,31,654.00 ",2020,29.37,824,28.85,0.04,1.02,"90,522.84 ",26331,Classic 350,41131.16
Tamil Nadu,Tier 1,Hero,2021,First,Individual,Petrol,Active,"1,44,607.00 ",2021,77.66,341,52.13,0.15,1.49,"1,01,612.78 ",36152,Passion Pro,42994.22
Delhi,Tier 1,Yamaha,2020,First,Dealer,Petrol,Active,"3,90,648.00 ",2020,76.32,807,41.45,0.05,1.84,"1,92,232.33 ",78130,FZ V3,198415.67
West Bengal,Tier 1,Hero,2021,First,Individual,Petrol,Active,"82,554.00 ",2021,53,513,55.82,0.11,0.95,"38,383.02 ",20639,Splendor Plus,44170.98
West Bengal,Tier 1,Honda,2017,First,Dealer,Petrol,Active,"2,03,633.00 ",2017,51.52,884,36.77,0.04,1.4,"1,14,573.75 ",25455,Activa,89059.25
Rajasthan,Tier 1,Yamaha,2019,First,Individual,Petrol,Active,"59,340.00 ",2019,36.94,560,51.97,0.09,0.71,"33,041.26 ",9890,Fascino 125,26298.74
West Bengal,Tier 1,Yamaha,2016,First,Individual,Petrol,Active,"2,79,092.00 ",2016,14.43,152,25.03,0.16,0.58,"1,68,936.97 ",31011,Ray ZR,110155.03
Rajasthan,Tier 1,TVS,2022,First,Dealer,Petrol,Active,"70,841.00 ",2022,79.5,860,28.26,0.03,2.81,"39,920.97 ",23614,NTorq 125,30920.03
West Bengal,Tier 1,KTM,2020,First,Individual,Petrol,Active,"2,97,101.00 ",2020,38.01,108,54.44,0.5,0.7,"2,08,608.02 ",59421,Duke 200,88492.98
West Bengal,Tier 1,TVS,2022,First,Individual,Petrol,Active,"2,42,218.00 ",2022,42.79,930,38.06,0.04,1.12,"1,53,415.44 ",80740,Ronin,88802.56
Uttar Pradesh,Tier 1,Kawasaki,2016,First,Dealer,Petrol,Active,"1,78,206.00 ",2016,52.06,528,48.66,0.09,1.07,"75,081.11 ",19801,Versys 650,103124.89
Maharashtra,Tier 1,KTM,2022,First,Dealer,Petrol,Active,"2,81,393.00 ",2022,67.6,122,49.68,0.41,1.36,"1,16,206.25 ",93798,390 Adventure,165186.75
Tamil Nadu,Tier 1,TVS,2022,First,Dealer,Petrol,Active,"1,97,989.00 ",2022,8.93,474,33.49,0.07,0.27,"96,224.66 ",65997,Sport,101764.34
Maharashtra,Tier 1,Yamaha,2017,First,Dealer,Petrol,Active,"2,63,100.00 ",2017,52.07,451,36.62,0.08,1.42,"1,50,299.28 ",32888,Ray ZR,112800.72
Tamil Nadu,Tier 1,Hero,2021,First,Dealer,Petrol,Active,"2,65,278.00 ",2021,59.84,287,26.37,0.09,2.27,"1,15,638.71 ",66320,Xtreme 160R,149639.29
Gujarat,Tier 1,Honda,2017,First,Individual,Petrol,Active,"2,00,975.00 ",2017,62.82,566,40,0.07,1.57,"1,56,213.01 ",25122,Unicorn,44761.99
Delhi,Tier 1,Royal Enfield,2020,First,Individual,Petrol,Active,"1,85,429.00 ",2020,7.81,620,35.32,0.06,0.22,"1,09,685.75 ",37086,Classic 350,75743.25
Gujarat,Tier 1,Honda,2021,First,Individual,Petrol,Active,"3,11,522.00 ",2021,15.81,908,28.63,0.03,0.55,"1,65,149.00 ",77881,Activa,146373
Rajasthan,Tier 1,Honda,2019,First,Individual,Petrol,Active,"1,31,470.00 ",2019,55.6,536,37.12,0.07,1.5,"94,184.85 ",21912,Dio,37285.15
Punjab,Tier 1,Bajaj,2022,First,Dealer,Petrol,Active,"3,37,399.00 ",2022,62.5,493,50.22,0.1,1.24,"2,08,468.80 ",112467,Pulsar 150,128930.2
Uttar Pradesh,Tier 1,Royal Enfield,2022,First,Dealer,Petrol,Active,"2,82,638.00 ",2022,78.57,943,39.83,0.04,1.97,"1,66,357.24 ",94213,Classic 350,116280.76
Madhya Pradesh,Tier 1,Bajaj,2016,First,Individual,Petrol,Active,"1,35,093.00 ",2016,43.55,249,33.09,0.13,1.32,"67,944.25 ",15011,Platina 110,67148.75
Tamil Nadu,Tier 1,Honda,2021,First,Dealer,Petrol,Active,"2,22,032.00 ",2021,51.89,199,59.92,0.3,0.87,"1,23,082.66 ",55508,Activa,98949.34
Punjab,Tier 1,Honda,2018,First,Dealer,Petrol,Active,"2,46,375.00 ",2018,17.65,588,48.23,0.08,0.37,"1,19,809.22 ",35197,Shine,126565.78
